,title,news,type
10,Rupee hits a new low amid dollar outflow,"Lalatendu Mishra Mumbai  The rupee on Monday fell to an all-time low of 77.44 against the U.S. dollar due to a sell-off in equities amid concerns over weakening global growth prospects, outflow of the dollar and on fears of further monetary tightening by central banks to counter rising inflation. The previous closing low for the rupee was 77.09, seen on March 7.  “A sell-off in the global equity markets which was triggered by the hike in interest rates by the U.S. Federal Reserve, the war in Europe and growth concerns in China due to the COVID-19, led to the rupee depreciation,” Emkay Global Financial Services said.",Business
11,Only 1% of women in 15-49 age group consume alcohol: NFHS-5 report,"Afshan Yasmeen Bengaluru  While it is known that alcohol consumption has always been high among men, the recently released National Family Health Survey (NFHS-5) for 2019-2021 has found that only 1% of women, aged 15-49, drink alcohol in the country, compared to 22% of men. The overall consumption is high in rural areas, stated the report.  In Karnataka, 0.3% of women consume alcohol, below the national average. But 23.1%. of men do so, which is higher than the national average.  The percentage of women who consume alcohol is the highest in Arunachal Pradesh (18%), followed by Sikkim (15%). Alcohol use among men is the highest in Goa (59%), followed by Arunachal Pradesh (57%), and Telangana (50%), while it is the lowest in Lakshadweep (1%).  Among women who drink alcohol, 17% consume it almost every day and 37% drink about once a week. Among men, while 15% consume almost daily, 43% drink about once a week, and 42% do less than once a week.  Drinking alcohol is more common among women from Scheduled Tribes (4%) than from any other caste/tribe group.  Consumption is also most common among Christian men (36%) and men belonging to “other” religions (49%). The “other” religions here are those apart from the Hindu, the Muslim, the Christian, the Sikh, the Buddhist/Neo-Buddhist, and the Jain communities.  Drinking is also seen in 33% of men with less than 5 years of schooling, 34% of those from Scheduled Tribes, and 30%. of those in the age group of 35-49.  Overall the proportion of men who drink alcohol decreased from 29% to 22% between NFHS-4 in 2015-2016 and NFHS-5 in 2019-2021. During that period, the proportion of women who drink has remained unchanged, according to the report.  NIMHANS study  NIMHANS Director Pratima Murthy, who was part of a study found that excessive alcohol consumption can cause irreversible changes to the DNA and that changes may persist even when it is no longer consumed. She said the reduction in alcohol consumption as per the NFHS-5 report could also be due to the non-availability during the COVID-19 lockdown.  The study by NIMHANS, published last year in the American Journal of Medical Genetics, found that the effects of alcohol were more pronounced in those who had started at an early age.  Dr. Murthy told The Hindu that the findings suggest that starting to drink early may physically alter many genes, including those of the brain. “This may have a significant effect on brain development and maturation that may persist to the later adult life,” she said.  Vivek Benegal, Professor of Psychiatry, who heads the Centre for Addiction Medicine at NIMHANS, said that the overall reduction in consumption is a welcome change. However, it needs to be seen in the perspective of the consistent increase in sales and production of alcohol.  “The findings will have to be balanced with consistent increase in sales and production of alcohol during the period when the reduction has been observed,” Dr. Benegal said",Business
12,Birla Tyres faces IBC proceedings,"PRESS TRUST OF INDIA NEW DELHI  The National Company Law Tribunal (NCLT) has ordered the initiation of insolvency proceedings against Birla Tyres Ltd. in a case filed by multi-business chemicals firm SRF Ltd., an operational creditor of the BK Birla Group firm.  A two-member Kolkata bench of the NCLT has also appointed Seikh Abdul Salam as Interim Resolution Professional (IRP) to run the operations of the company after suspending the board and also declared a moratorium as per the procedures of the Insolvency & Bankruptcy Board (IBC).  SRF had claimed a default in payment of ₹15.84 crore, including principal of ₹10.06 crore and interest of ₹5.78 crore, for the supply of tyre cord fabric.",Business
13,,,Business
14,CPEC projects delayed,"3 The number of China-Pakistan Economic Corridor (CPEC) projects completed out of the 15 to be completed by Pakistan, and is running behind schedule, according to a report by the Express Tribune on Sunday. Out of the $60 billion worth of projects, only projects worth three million dollars have been completed in Gwadar. The ambitious CPEC is a 3,000-km long route of infrastructure projects connecting China's northwest Xinjiang Uyghur Autonomous Region and the Gwadar Port in the western Pakistan province of Balochistan. PTI ",Business
15,There’s finally momentum to stop stock trading in Congress,"Bills banning members of Congress from trading stocks are gaining increased bipartisan support — including from a former skeptic, House Speaker Nancy Pelosi — after a series of investigations involving potential insider trading by lawmakers, particularly in the early days of the Covid-19 pandemic.  There’s wide agreement among voters that legislators should be banned from trading stocks while in Congress, since their position can give them access to information about companies and industries that ordinary people don’t have. While there are some policies in place to at least provide transparency about how legislators are making money from the stock market, there aren’t significant punishments for violating those rules.  In fact, as Business Insider’s Dave Levinthal reported earlier this month, at least 55 members of Congress violated the Stop Trading on Congressional Knowledge Act in 2021 alone.  The law — better known as the STOCK Act — was passed in 2012 to curtail the use of inside information to trade stocks, but many lawmakers now believe it didn’t go far enough to curb abuses.  Business Insider’s reporting, as well as the high-profile investigations of Sen. Richard Burr (R-NC) and former Sens. Kelly Loeffler and David Perdue for suspiciously well-timed trades around the advent of the pandemic, have (somewhat belatedly) spurred new energy around legislation to prevent members of Congress from trading stocks while in office, with multiple bills introduced in the House and Senate aiming to do just that — albeit with varying degrees of stringency, and a lack of clarity regarding who exactly should be targeted.  According to Craig Holman, a lobbyist for the government watchdog group Public Citizen, public frustration with ethical issues — and widespread public support for a stock trading ban — is likely driving the current push.",Business
16,Govt. said to urge Reserve Bank to help push bond yields lower,"Reuters New Delhi  The government has asked the central bank to either buy back government bonds or conduct open market operations to cool yields that have hit their highest since 2019, as inflation risks push foreign investors to sell, a government source told Reuters on Monday.  The 10-year benchmark bond ended at 7.46%, after earlier reaching a high of 7.49%. “The discussion with the RBI (Reserve Bank of India) is at an advanced stage as current yields are not at comfortable levels,” the government official, with direct knowledge of the matter, said on condition of anonymity. The official said government expects the RBI to conduct a switch operation, offering investors a chance to exchange their short-dated bonds for debt with a longer maturity, or to buy back government bonds within the next two weeks.  The request from the government could complicate the RBI’s policy of withdrawing liquidity from the market, which marks a shift away from the ultra-loose monetary stance it took during the COVID-19 pandemic.  The RBI surprised markets last week by raising its key interest rate by 40 basis points to 4.40% to fight inflation — its first increase in nearly four years.  Foreign portfolio investors have sold $697 million of government securities since April 1 and $1.18 billion this year, traders said.  India’s forex reserves fell $2.7 billion to $597.73 billion on April 29, RBI data showed, marking the eighth straight week of declines and the first time falling below $600 billion in a year.",Business
17,Goyal to hold meet on high cotton prices,"pecial Correspondent COIMBATORE  Union Minister for Commerce and Industry and Textiles Piyush Goyal will hold a meeting with stakeholders of the cotton textiles value chain on Wednesday in New Delhi.  According to Textiles Secretary Upendra Prasad Singh, Mr. Goyal has planned to hold a meeting with all stakeholders of the sector to discuss the issue of high cotton and yarn prices, the steps that can be taken, etc. “Any decision can be taken only after the meeting,” he said.  Some textile clusters in Tamil Nadu, including Tiruppur, plan to go on two- day strike on May 16 and 17 demanding steps to control cotton and yarn prices.",Business
18,Wheat prices surge,"13 In percentage, the surge in the all-India average price of wheat flour in retail markets when compared to the year-ago period with the price standing at ₹32.91 per kilogram (kg). The average retail price of wheat flour was ₹29.14 per kg on May 8, 2021. The consumer affairs Ministry data showed that the maximum price of wheat was ₹59 per kg, while the minimum and modal prices were ₹22 per kg and ₹28 per kg respectively. Meanwhile, the government has revised the estimate for wheat production by 5.7% from its earlier projection. PTI ",Business
19,Peloton’s big whoops,"Peloton is in a pickle.  In 2020, the at-home digital exercise company could not get its products out the door fast enough. It surpassed $1 billion in quarterly sales during the last three months of the year, and leadership fretted its profits could take a hit as it invested to try to keep pace with pandemic-induced Pelotonpalooza. People waited weeks and months for their bikes and treadmills to be delivered. Alongside companies such as Zoom and Clorox, Peloton’s stock was a solid stay-at-home bet on Wall Street. But nothing lasts forever.  Fast-forward to 2022, and Peloton finds itself in quite a different spot. The good news: It has caught up on the supply side and finally has bikes and treadmills readily available. The bad news: The demand it’s trying to catch up to is no longer there. CNBC’s Lauren Thomas reports that Peloton is going to hit pause on production for a while.  “Peloton has been plagued with a supply-demand mismatch since the pandemic started,” said Simeon Siegel, an analyst at BMO Capital Markets who has been bearish on the company for quite some time. “The problem has basically inverted.”  Over the course of the Covid-19 pandemic, many people have found out more about the supply chain than they ever imagined. American consumers are accustomed to things just showing up at their doorsteps or on the shelves when they want, no questions asked. Everyone knows about supply and demand theoretically, but everything we’re learning about them in practice now is, to quote the meme, against our will.  The public health crisis has thrown many parts of the economy out of whack, and it’s made doing business more complicated across industry after industry. There have been plenty of well-documented kinks in the supply chain. (Who knew there’d be this surge of interest in shipping containers?) There’s been all sorts of weirdness in demand as well. (Remember when everyone wanted yeast?)",Business
20,"IOB, BoM, KVB, Canara raise lending rates","PRESS TRUST OF INDIA New Delhi  Indian Overseas Bank (IOB) has revised the external benchmark linked lending rate to 7.25% from May 10, the bank said on Monday.  “Our bank has revised the Repo Linked Lending Rate (RLLR) to 7.25% (ie 4.40% +2.85%) with effect from May 10, 2022,” it said in a regulatory filing.  Earlier in the day, HDFC Bank, Canara Bank, Bank of Maharashtra and Karur Vysya Bank also said they had revised lending rates based on the marginal cost of funds (MCLR) and the repo rate. With the RBI’s decision to raise the policy rate by 40 basis points to 4.4% last week, several banks have revised lending rates based on the repo and marginal cost of funds.",Business
21,The case against the Supreme Court of the United States,"Two events occurred Monday night — one historic, the other rather insignificant — which placed an unflattering spotlight on the Supreme Court of the United States.  The historic event was that Politico published an unprecedented leak of a draft majority opinion, by Justice Samuel Alito, which would overrule Roe v. Wade and permit state lawmakers to ban abortion in its entirety in the US. Alito’s draft opinion is not the Court’s final word on this case, Dobbs v. Jackson Women’s Health Organization, but the leaked opinion is the latest in a long list of signs that Roe may be in its final days.  The other event that also occurred last night is that I sent two tweets. One praised whoever leaked Alito’s opinion for disrupting an institution that, as I have written about many times in many forums, including my first book, has historically been a malign force within the United States. And a second celebrated the leak for the distrust it might foster in such a malign institution.",Business
22,Eicher unveils Prima G3 premium tractors,"TAFE’s Eicher Tractors on Monday announced the unveiling of the Eicher Prima G3 Series – a premium range of tractors targeted at the new-age farmer, in the 40-60 hp range. The tractors come with a high torque fuel saver (HT-FS) liquid cooled engine, that provides for higher productivity and fuel saving. The new multi-speed power take off provides four different modes, making it compatible with multiple agricultural and commercial applications, TAFE said. ",Business
23,Grain exports,"1.09 In million tonnes, the amount of grain exported by Ukraine in April despite the war between the country and Russia from February this year, according to Agriculture Minister Mykola Solskyi. Ukraine has sown about seven million hectares of spring crops so far, 25-30% less than in the corresponding period of 2021. He underlined the importance of exports of Ukrainian grain via Romania while Russia is blockading ports, but said those exports could be complicated in the next two months. Reuters ",Business
24,EDMC teachers protest over pending salaries,"Staff Reporter NEW DELHI  Teachers working at schools run by the East Delhi Municipal Corporation (EDMC) staged a protest outside the civic body’s headquarters on Monday over the issue of non-payment of salaries since December 2021.  Kuldeep Singh Khatri, president, Shikshak Nyay Manch, an association for teachers under the East civic body, said the teachers were facing severe financial struggles.  “They are deliberately withholding our salaries, despite claiming that the unification of civic bodies will improve our financial situation,” said Mr. Khatri, adding that thousands of teachers will continue to protest till their demands are not met.  When The Hindu reached out to EDMC Mayor Shyam Sunder Aggarwal (BJP), he attributed the delay to the Delhi government “not releasing pending funds”.  However, EDMC Leader of Opposition Manoj Tyagi (AAP) dismissed Mr. Aggarwal’s claims, saying the Delhi government has released all the funds due to the East municipal corporation.",Business
25,‘No area of business reserved for public firms’,"Special Correspondent Coimbatore  The private sector can now invest in any sector where there is opportunity, Union Finance Minister Nirmala Sitharaman said on Monday. This follows her 2021 Budget announcement that there would be no area reserved only for the public sector.  Presenting the “Startup Dhruv Awards” at a function organised by the StartUps Academy, she said the public sector would be present in strategically important and national security-related areas. But, the private sector could be present here too, she pointed out.  To unleash the natural capabilities and strengths in the country, it was felt that a policy change was needed, paving the way for the 2021 Union Budget decision to open up all sectors for private sector participation.  Anticipating that only large-scale operations might happen with this too, and since MSMEs were the “real big strength” of the country and the backbone of the economy, MSMEs are supported, Ms. Sitharaman pointed out.",Business
26,Have we been thinking about economic growth all wrong?,"That’s an alarming-seeming but ultimately misleading number; most of it is accounted for by changes in international trade (imports, which reduce GDP numbers, rose as businesses knew war in Ukraine was coming) and the shrinking of inventories held by businesses as consumers bought them up. “Final sales to domestic purchasers,” which strips out those factors, was up 0.6 percent for the quarter, or 2.6 percent annually.  However you parse the release, though, this seemed as good a time as any to discuss the long-run future of growth in the US and the rest of the world. I’m getting pretty worried about it, to be honest! And I’m worried because of an economics paper by NYU’s Thomas Philippon with the unassuming name “Additive Growth.”  The implication of Philippon’s paper is as simple as it is disturbing: We should expect economic growth to slow down in the long run, and the big leaps forward of the last couple centuries may be an aberration.  This conclusion is far from certain, and it goes against decades of assumptions on how to model economic growth. But Philippon brings a lot of data to bear on his thesis, which makes some intuitive sense, and even the possibility of it being true should alarm us.  The big pile of stuff we know how to do Philippon’s paper is not concerned with economic growth per se, but with a variable that is central to explaining long-run growth: total factor productivity, or TFP.  Defining or getting a handle on the idea of TFP can be tricky. Technically, it’s just a residual: the annual growth rate of TFP is what you get when you look at annual economic growth, and remove the growth attributable to an increase in labor (more hours worked) or capital accumulation (more factories built, labor-saving machines purchased, etc).",Business
27,Andaman to get gas-based power plant,"acob KoshyNew Delhi  The Union Environment Ministry has approved an exemption to the laws governing the regulation of coastal zones and has paved the way for gas-powered plants to be set up on the Andaman and Nicobar islands.  The Island Coastal Zone Regulation (ICRZ), 2019, limits infrastructure development on vulnerable coastal stretches.  Enabling provision  In the aftermath of a proposal from the Andaman and Nicobar Coastal Zone Management Authority (ANCZMA), an expert body of the Ministry of Environment and Forests, called the National Coastal Zone Management Authority (NCZMA), recommended in August 2021 that it was necessary to provide an “enabling provision in the ICRZ notification” to meet the energy requirement of the islanders while reducing the dependence on highly polluting energy sources such as conventional diesel generator (DG) sets.  The NCZMA has recommended that gas-based power plants be permitted within the Island Coastal Regulation Zone area only on islands with geographical areas greater than 100 sq. km.  The Central government, following this, invited comments from the public on modifications to to the ICZR, and on May 5, issued a notification accepting the National Coastal Zone Management Authority recommendation.  The Andaman and Nicobar administration is expected to commission a 50-MW power project running on liquefied natural gas at Hope Town, Port Blair, to be developed by the National Thermal Power Corporation (NTPC).  Following visits by the NTPC personnel, a dual-fuel power plant that runs on both diesel and LNG is expected to be commissioned.  Back-up clause  Diesel is necessary, the Andaman administration authorities argued, as a back-up fuel when the region faced inclement weather.  There has been an increased interest in the development of the Andaman region following a policy push by the NITI Aayog.  A proposed project plans to develop the Greater Andaman region or the southernmost stretch of the island group.  Proposals include a 22-sq.km airport complex, a transshipment port (TSP) at South Bay at an estimated cost of ₹12,000 crore, a parallel-to-the-coast mass rapid transport system and a free trade zone and warehousing complex on the southwestern coast.",Business
28,The awful American consumer,"Some of the angriest emails I’ve ever gotten from readers were over a story about credit card points.  The long and short of it is that the fancier the credit card rewards, the higher the swipe fees for merchants. Those merchants often pass along the costs of those swipe fees to all customers, whatever the payment mechanism. People who pay with rewards cards tend to be more well-off, financially, and their hotel points or flight miles are being, in part, subsidized by people paying in cash or debit who tend to be poorer. A 2010 paper found that households that use cash pay about $149 on average to households that use credit cards, and each of the credit card households gets $1,133 from cash users every year.  Essentially, credit card rewards have to come from somewhere, and they’re partly coming from people who aren’t reaping the benefits. Some readers were very angry to discover this information. “Maybe it’s time for people who don’t want to work to know how it feels to foot the bill for other people?” one person wrote to me, apparently equating having a rewards card with having a job. “If people want a better life I suggest education and getting a degree or a certificate in a trade,” wrote another person. “Boohoohoo. Who cares?” wrote another.  Some people seemed to feel that they had a serious right to accumulate credit card rewards, regardless of who or what those rewards were coming from. It’s a sentiment that bears out in the data: A 2019 LendingTree survey found that people were likelier to support a rate cap on credit cards if it reduced access for people with imperfect credit than they were if it meant it would significantly lower their rewards.  “What that essentially says is that more people [were] okay with fewer folks having access to credit than they were with having their own credit card rewards shrink,” explained Matt Schulz, chief credit analyst at LendingTree, in an email.  That consumers can be selfish isn’t a new phenomenon. Remember when everyone was hoarding toilet paper and masks at the start of the pandemic? But it is worth pausing and reflecting on how angry people feel when confronted with the idea. ",Business
