,title,news,type
78,"Curry, Warriors Rally Past Grizzlies 101-98 for 3-1 Lead","SAN FRANCISCO (AP) — Stephen Curry converted eight free throws over the final 45.7 seconds on the way to 32 points, leading the Golden State Warriors’ fourth-quarter comeback for a 101-98 victory over the Memphis Grizzlies on Monday night and a 3-1 lead in the Western Conference semifinals. Curry also dished out eight assists and grabbed five rebounds as Golden State rallied to win without coach Steve Kerr after he tested positive for COVID-19 less than two hours before tipoff.  Curry took charge just like he has so many times on the playoff stage and now his Warriors are one win from a trip to the Western Conference finals for the first time since 2019. He tied it at 90 on a fall-away baseline jumper with 3:25 to go and his two free throws with 45.7 seconds to go gave the Warriors a 94-93 lead, their first of the night.  Tyus Jones had 19 points, six rebounds and five assists as Memphis missed injured All-Star Ja Morant. Dillon Brooks returned from a one-game suspension and struggled mightily, missing a 3-point try with 53 seconds left and finishing 5 for 19 with 12 points, eight assists and five rebounds. Andrew Wiggins had 17 points and 10 rebounds and Klay Thompson scored 14 points despite missing all seven of his 3-point attempts for the cold-shooting Warriors, who didn't have to contend with do-everything Morant this time. The Grizzlies guard missed the game with soreness in his right knee after Jordan Poole grabbed him while going for a loose ball late in Game 3 — leading Morant and Memphis coach Taylor Jenkins to question Poole’s intentions.  It remained unclear whether Morant would be back for Game 5 on Wednesday in Memphis.  Brooks sat out Game 3 as a penalty by the league for his Flagrant 2 foul that injured Gary Payton II in Game 2, when Brooks hit the Golden State guard over the head on a driving layup attempt and Payton fell hard and broke his left elbow. Kerr called it a “dirty” play and said Brooks had broken an NBA code of conduct.  Brooks was booed nearly every time he touched the ball, fouled or when he checked back into the game.  Golden State trailed 69-62 going into the fourth quarter after Desmond Bane's 32-foot 3-pointer beat the third-quarter buzzer. However, both teams struggled all night to make their 3s.  Kerr was replaced by associate head coach Mike Brown, who agreed Sunday to become the Sacramento Kings new coach after this postseason run.  Poole scored 14 off the bench for the Warriors as they survived a nail-biter following a postseason-record point total in Saturday's 142-112 Game 3 blowout.  CURRY'S KICKS  Curry sported special edition pair of orange Curry 9 Flow sneakers with colorful decorations to honor the late TNT broadcaster Craig Sager and his impact on the NBA.  Curry will autograph the shoes for auction on Wednesday on the NBA auction website with all proceeds going to the SagerStrong Foundation. The two-time MVP changed to lavender-colored sneakers in the second half.  TIP-INS  Grizzlies: C Steven Adams, who returned from the health and safety protocols to play six minutes in the waning moments of Saturday's blowout, started and contributed 10 points and 15 rebounds as Memphis did a better job staying with the Warriors on the boards — outrebounded 54-48. ... The Grizzlies were 9 of 35 on 3s.  Warriors: The Warriors committed 11 first-half turnovers and 16 total. ... Golden State started 0 for 15 from deep before Otto Porter Jr. connected 3:24 before halftime. Thompson missed all seven of his 3s and Curry his initial five before becoming the first player in NBA history to make 500 postseason 3-pointers when he connected 46.2 seconds before halftime. ... The Warriors were the first team to go 0 of 15 from long range to start a game since the 2011 Thunder were 0 for 16 against Dallas in Game 3 of the Western Conference finals, according to Elias. ... The Warriors had no immediate additional positive COVID tests, the team said.",Sports
79,Alcaraz rises to sixth in the world rankings,"Agence France-PresseParis  Spanish teen sensation Carlos Alcaraz rose three places to sixth in the men’s ATP rankings following his victory in the Madrid Open on Sunday.  Novak Djokovic retains his No. 1 ranking — No. 2 Daniil Medvedev is due to return to action at next week’s Geneva Open after recovering from a hernia operation — while Australian Open champion Rafael Nadal remains at four.  Meanwhile, Tunisia’s Ons Jabeur matched her personal-best seventh in the WTA rankings after winning the biggest title of her career at the Madrid Open.  The 27-year-old, the first Arab or African player to break into the men’s or women’s top 10, beat American Jessica Pegula 7-5, 0-6, 6-2 in Saturday’s final. Pegula has moved up three places to a career-high of 11th in the world.  Belarusian Aryna Sabalenka slipped four spots to eighth.  The rankings (Russia and Belarus players are banned from using name or flag of their countries until further notice):  Top 10: ATP: Djokovic (Srb) 8,260 pts; 2. Daniil Medvedev 7,990; 3. Alexander Zverev (Ger) 7,020; 4. Rafael Nadal (Esp) 6,435; 5. Stefanos Tsitsipas (Gre) 5,750; 6. Carlos Alcaraz (Esp) 4,773 (+3); 7. Andrey Rublev 4,115 (+1); 8. Matteo Berrettini (Ita) 3,895 (-2); 9. Felix Auger-Aliassime (Can) 3,760 (+1); 10. Casper Ruud (Nor) 3,760 (-3).  WTA: 1. Iga Swiatek (Pol) 7,061; 2. Barbora Krejcikova (Cze) 5,011 (+1); 3. Paula Badosa (Esp) 4,720 (-1); 4. Maria Sakkari (Gre) 4,596 (+1); 5. Anett Kontaveit (Est) 4,446 (+1); 6. Karolina Pliskova (Cze) 4,152 (+1); 7. Ons Jabeur (Tun) 3,895 (+3); 8. Aryna Sabalenka 3,721 (-4); 9. Danielle Collins (USA) 3,211 (-1); 10. Garbine Muguruza (Esp) 3,135 (-1).",Sports
80,"MP, Haryana among quarterfinalists","Sports Bureau  Five of the eight quarterfinalists at the 12th Hockey India Senior Women National Championship were all but confirmed in Bhopal on day four on Monday as the expected winners played true to form in league matches for Pools A to E.  Host Madhya Pradesh beat Chandigarh 5-1 in Pool A to remain unbeaten in the three-team group with two wins in as many games and ensuring a top-eight finish.  Similar scenario  It was a similar scenario across other Pools that saw action on the day, with Haryana winning 7-1 against Assam in Pool B, Jyoti and Soni scoring a brace for the winner.  Also winning easily was Punjab in Pool C with a 6-0 victory against Chhattisgarh, Maharashtra registering a convincing 4-0 win against Rajasthan in Pool D and Jharkhand rounding off the proceedings with a 10-0 win against Andhra Pradesh in Pool E.  All the winning teams have finished their league games and remain unbeaten, assuring a quarterfinals spot for themselves.  The results:  Pool A: Madhya Pradesh 5 (Manisha Chauhan, Savita, Neelu Dadiya, Jyoti Pal, Neeraj Rana) bt Chandigarh 1 (Priyanka).  Pool B: Haryana 7 (Jyoti 2, Soni 2, Tannu, Priyanka, Bharti Saroha) bt Assam 1 (Sakshi).  Pool C: Punjab 6 (Navpreet Kaur 2, Navjot Kaur 2, Kirandeep Kaur, Sarabdeep Kaur) bt Chhattisgarh 0.  Pool D: Maharashtra 4 (Ankita Sapate, Chaitrali Gawde, Manashri Shedage, Pooja Shendage) bt Rajasthan 0.  Pool E: Jharkhand 10 (Roshni Dungdung 2, Albela Rai Toppo 2, Pramila Soreng 2, Subhasi Hemrom, Edlin Bage, Fulmani Bhenga, Betan Dungdung) bt Andhra Pradesh 0.",Sports
81,"Verstappen triumphs, cuts gap at the top","Agence France-PresseMiami  World champion Max Verstappen resisted a late attack from series leader Charles Leclerc of Ferrari to claim victory for Red Bull in sweltering conditions at the inaugural Miami Grand Prix on Sunday.  Exhausting race  In a physically exhausting race for the drivers and teams at the Miami International Autodrome, the 24-year-old Dutchman produced a mature performance.  His second successive win and third of the season enabled him to trim Leclerc’s advantage to 19 points in the drivers’ championship. Leclerc has 104 and Verstappen 85. It was the 23rd win of the Dutchman’s career.  Verstappen came home 3.786s ahead of Leclerc with Carlos Sainz third in the second Ferrari after holding off a late charge from Sergio Perez.  George Russell finished fifth after recovering from 15th on the opening lap to come home ahead of Mercedes teammate and seven-time champion Lewis Hamilton.  In a tactical race of attrition and many minor incidents, Russell made the most of a late Safety Car intervention when McLaren’s Lando Norris collided with Pierre Gasly’s Alpha Tauri to take a ‘free’ pit stop for new tyres.  The final 10 laps produced more action than the previous 47 including another accident when Mick Schumacher of Haas collided with fellow German and four-time champion Sebastian Vettel’s Aston Martin.  Valtteri Bottas of Alfa Romeo finished seventh ahead of Esteban Ocon and his Alpine teammate and two-time champion Fernando Alonso and Alex Albon, who was a fine 10th for Williams.  The results: 1. Max Verstappen (Red Bull) 1hr 34 min 24.258sec; 2. Charles Leclerc (Ferrari) at 3.786sec; 3. Carlos Sainz Jr (Ferrari) 8.229; 4. Sergio Perez (Red Bull) 10.638, 5. George Russell (Mercedes) 18.582; 6. Lewis Hamilton (Mercedes) 21.368; 7. Valtteri Bottas (Alfa Romeo) 25.073; 8. Esteban Ocon (Alpine) 28.386; 9. Fernando Alonso (Alpine) 32.128; 10. Alexander Albon (Williams) 32.365; 11. Daniel Ricciardo (McLaren) 35.902; 12. Lance Stroll (Aston Martin) 37.026; 13. Yuki Tsunoda (AlphaTauri) 40.146; 14. Nicholas Latifi (Williams) 49.936; 15. Mick Schumacher (Haas) 1:13.305.  DNF: Guanyu Zhou (Alfa Romeo), Lando Norris (McLaren), Pierre Gasly (AlphaTauri), Sebastian Vettel (Aston Martin), Kevin Magnussen (Haas).  Standings: Drivers: 1. Charles Leclerc (Mon) 104 pts, 2. Max Verstappen (Ned) 85, 3. Sergio Perez (Mex) 66, 4. George Russell (GBR) 59, 5. Carlos Sainz Jr (Esp) 53, 6. Lewis Hamilton (GBR) 36, 7. Lando Norris (GBR) 35, 8. Valtteri Bottas (Fin) 30, 9. Estéban Ocon (Fra) 24, 10. Kevin Magnussen (Den) 15, 11. Daniel Ricciardo (Aus) 11, 12. Yuki Tsunoda (Jpn) 10, 13. Pierre Gasly (Fra) 6, 14. Fernando Alonso (Esp) 4, 15. Sebastian Vettel (Ger) 4, 16. Alexander Albon (Tha) 2, 17. Guanyu Zhou (Chn) 1, 18. Lance Stroll (Can) 1.  Constructors: 1. Ferrari 157 pts, 2. Red Bull 151, 3. Mercedes 95, 4. McLaren 46, 5. Alfa Romeo 31, 6. Alpine 28, 7. AlphaTauri 16, 8. Haas 15, 9. Aston Martin5, 10. Williams 2.",Sports
82,Bumrah special not enough as Knight Riders beat Mumbai Indians,"Abhishek Mukherjee NAVI MUMBAI  Jasprit Bumrah’s fiery spell went in vain as Kolkata Knight Riders put up a disciplined effort with the ball to successfully defend 165 and register a 52-run win at the D.Y. Patil Stadium here on Monday. Pat Cummins (three for 22), Andre Russell (two for 22) and Tim Southee (one for 10) bowled probing spells and reaped rewards to keep Shreyas Iyer’s men in the hunt for the playoffs.  After being stunned by Bumrah during the business-end of their innings, Knight Riders came back strongly to chip away at the opposition.  Rohit Sharma fell in the first over, caught behind off Southee. Tilak Varma and Ramandeep Singh perished while trying ambitious shots off Andre Russell; Tim David, after a fiesty start with boundaries off the first three balls he faced, top-edged when attempting to smash Varun Chakravarthy out of the park.  Ishan Kishan (51, 43b, 5x4, 1x6), however, was in full flow at the other end. Playing the ball on its merit, he found the odd boundary through sweetly-timed drives in the ‘V’. When he, too, couldn’t resist the fatal pull shot, Knight Riders were well and truly on top. Cummins took two more in the same over, both off short deliveries. Poor running by the Mumbai Indians lower-order hastened the end.  That Mumbai Indians had a fighting chance at the halfway stage was mainly due to an excellent bowling performance from Bumrah. Unsettling the batters with yorkers and short deliveries, Bumrah claimed his maiden five-wicket haul (five for 10) in the IPL as Knight Riders lost their way after a bright start. The last six wickets fell for 28 runs. Venkatesh Iyer (43, 24b, 3x4, 4x6), returning to the side after sitting out the last two games, helped the team post its highest total in the PowerPlay this season — 64 — before Nitish Rana (43, 26b, 3x4, 4x6) took the baton from him and kept the boundaries coming.  Bumrah changed the complexion of the game in the 15th over, softening up Russell with a sharp yorker before testing him with a short delivery. Russell went for the pull but holed out to the fielder at long-on.  Rana fell in the same over, undecided whether to duck or fend a short ball and gloving the ball to the wicketkeeper. In Bumrah’s next over, Sheldon Jackson, Cummins and Sunil Narine all perished to quick deliveries. Mumbai Indians got a taste of its own medicine when it batted.",Sports
83,Indian Climber Dies Trying To Scale Mount Kanchenjunga,"Kathmandu: An Indian climber has died in Nepal near the summit of the world's third-highest peak, expedition organisers said Friday, the third fatality of this year's busy Himalayan spring climbing season. Narayanan Iyer, 52, died Thursday at an altitude of 8,200 metres, near the top of Mount Kanchenjunga.  ""He was slower than others and we had two guides assist him. He was very exhausted, couldn't continue and collapsed,"" Nivesh Karki of expedition company Pioneer Adventure told AFP.  Karki said that Iyer's family had been informed and the company is working out details for the recovery of his body.  Nepal has issued 68 permits to foreign climbers for the 8,586-metre Kanchenjunga this season and several made it to the summit on Thursday.  Iyer is the third climber to die in Nepal this year.  Last month, a Greek climber died on the 8,167-metre Dhaulagiri after he fell ill while descending.",Sports
84,Rupinder named captain for Asia Cup,"ress Trust of India NEW DELHI  Veteran drag-flicker Rupinder Pal Singh, who recently came out of retirement, will lead India at the Asia Cup as Hockey India on Monday announced a 20-member team for the upcoming tournament in Jakarta. Birender Lakra has been named deputy to Rupinder.  The prestigious event, which will be held from May 23 to June 1, is a World Cup qualifier.  Senior players like Manpreet Singh, Harmanpreet Singh and P.R. Sreejesh are giving the tournament a miss.  Both Rupinder and Lakra had announced their retirement after the Tokyo Games last year but made themselves available for selection later on.  It will be first assignment for former captain and two-time Olympian Sardar Singh as India coach.  India has been grouped with Japan, Pakistan and host Indonesia in pool A, while Malaysia, Korea, Oman and Bangladesh comprise pool B.  The squad: Goalkeepers: Pankaj Kumar Rajak, Suraj Karkera; defenders: Rupinder Pal Singh (capt.), Yashdeep Siwach, Abhisek Lakra, Birendra Lakra, Manjeet, Dipsan Tirkey.  Midfielders: Vishnukant Singh, Raj Kumar Pal, Mareeswaren Sakthivel, B.M. Sheshe Gowda, Simranjeet Singh.  Forwards: Pawan Rajbhar, Abharan Sudev, SV Sunil, Uttam Singh, S. Karthi.  Replacement players: Maninder Singh, Nilam Sanjeep Xess; standbys: Pawan, Pardeep Singh, Ankit Pal, Angad Bir Singh.",Sports
85,GT vs MI IPL 2022: How Hardik Pandya planned dismissal of former teammate Kieron Pollard,"Gujarat Titans captain Hardik Pandya has been on the money in IPL 2022. His decision making on the go has been on point so far.   And Match 51 between GT and Mumbai Indians was no different.   After MI openers Rohit Sharma and Ishan Kishan got the team to a quick start, Hardik was smart enough to pull things back with his tactical moves.   One of the smartest moves on the night was when Ishan Kishan fell for 45 off 29 balls.  His former MI teammate Kieron Pollard came to bat at No 5 and Hardik brought back Rashid Khan instantly.   Pollard has had issues with Rashid and it was telling again when the big West Indian began to struggle against the turn and guile of Afghan bowler.  Rashid bowled four back to back dots and then Pollard attempted to play a cover drive, but he misread the line and the ball kissed the stumps.   That was a smart move frm Hardik, who has spent many a seasons with Mumbai Indians and knows a thing of two about Pollard's batting. ",Sports
86,Newbies in fight for top spot,"mol KarhadkarPUNE  When Gujarat Titans faced Lucknow Super Giants in the clash of IPL debutants at the Wankhede Stadium, not too many would have predicted what lay ahead for them.  Six weeks hence, the newbies square off yet again in a battle for the top spot.  Even though the winner of Tuesday’s match at the Maharashtra Cricket Association stadium will formally give IPL 2022 its first team in the Playoffs, both teams are as good as in. The race now is to decide the table-topper.  Desperate  Hardik Pandya’s Titans — having lost their last two games — will be desperate to get back into winning mode. K.L. Rahul’s Super Giants, on the other hand, will be hoping to extend their four-match winning streak.  While Rahul will be gunning to close in on Jos Buttler’s Orange Cap, Lucknow’s pace quartet will be eager to repeat its heroics at the same venue against Kolkata Knight Riders over the weekend.  Banking on Gill  The Titans, though, will be banking on Shubman Gill to withstand the onslaught of Mohsin Khan & Co. and the left-handed duo of David Miller and Rahul Tewatia to come to the party later on in the innings.",Sports
87,Hirva survives; Nandini stuns Sanskriti,"venth seed Hirva Rangani fought her way past Pari Bhardwaj 6-2, 6-7(6), 6-4 in the girls’ first round of the Asian under-14 tennis tournament at the Modern School, Barakhamba Road, on Monday.  In another match, Nandini Kansal sailed past second seed Sanskriti Tayal 6-2, 6-1.  Other top results (first round):  Boys: Om Verma bt Veer Banshidhar Mishra 6-0, 6-0; Mrigank Rawat bt Aditya Acharya 1-6, 6-1, 6-3.  Adhiraj Thakur bt Siddhant Babai 6-1, 6-0; Anuj Sarda bt Aarav Gupta 6-1, 6-1; Shaurya Bhardwaj bt Ruhan Komandur 6-0, 6-1.  Om Patel bt Faiz Ali Kidwai 6-3, 6-0; Kushagra Arora bt Sumukh Marya 6-2, 6-0.  Girls: Divya Ungrish bt Khyati Verma 6-1, 6-0.  Anjhallle Meka bt Aashritha Maheshwari 7-5, 6-1; Aradhyaa Verma bt Sri Aksha Penumesta 6-0, 6-0.  Meher Sharma bt Ela Pandey 6-3, 6-3; Aleena Farid bt Aashita Mittal 6-1, 6-1.  Pia Pallav Mistri bt Manvi Rathi 6-0, 6-1; Gehansa Lamappulage Don (Sri) bt Tvishi Khilariwal 6-2, 6-3.  Diya Chaudhary bt Chaitanya Chugh 6-4, 6-2; Prachi Malik bt Shivangi Alsisaria 6-1, 6-1.",Sports
88,Asian Games 2022 postponed amid COVID surge in China: OCA,"TASHKENT/BEIJING: The Hangzhou Asian Games, which were scheduled to take place from September 10 to 25, were on Friday postponed indefinitely amid a recent surge in COVID-19 cases in China. The new dates will be announced in near future. An air of uncertainty was hovering over the 19th edition of the multi-sports Games ever since Shanghai came under a fresh wave of the pandemic, forcing a lockdown in the city. The Olympic Council of Asia (OCA) Executive Board met in Tashkent on Friday to discuss the situation and felt postponing the Games was the best decision under the circumstances.  ""Following detailed discussions with the Chinese Olympic Committee (COC) and the Hangzhou Asian Games Organising Committee (HAGOC), the OCA Executive Board (EB) today decided to postpone the 19th Asian Games, which were scheduled to be held in Hangzhou, China, from 10 to 25 September 2022,"" the OCA said in a statement, posted on its website. ""The new dates of the 19th Asian Games will be agreed between the OCA, the COC and the HAGOC and announced in the near future,"" the statement added. The OCA said the HAGOC was well prepared to deliver the Games on time despite global challenges. However, after carefully considering the pandemic situation and the magnitude of the Games, the decision was taken by all the stakeholders. The name and the emblem of the 19th Asian Games will remain unchanged, and the OCA believes that the Games will achieve complete success through the joint efforts of all parties. About 11,000 athletes were to compete in 61 sporting disciplines in the Games. The development comes at a time when China is battling a record number of daily cases in Shanghai, which is only a short train ride away from Games host city Hangzhou. Hangzhou, the capital of Zhejiang province, is some 175 kilometres southwest of Shanghai. As per the latest update, Zhejiang has recorded 3124 positive cases and one death. Additionally, the 3rd Asian Youth Games, which was scheduled from December 20-28 in Shantou, China have also been cancelled. The next Asian Youth Games will therefore be held in 2025 in Tashkent, Uzbekistan.",Sports
